Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C18",0603,3,1uF,
C10,0402,1,10nF,
"C11, C13",0402,2,100nF,
"C12, C14, C3",0805,3,4.7uF,
"C15, C16",0402,2,18pF,
"C19, C2, C20, C29, C30, C31, C32, C4, C5, C6, C7, C8",0402,12,0.1uF,
C21,0603,1,470nF,
C22,0402,1,1nF,
C23,0402,1,39pF,
"C24, C25",0402,2,3.3pF,
C26,0603,1,47nF,
C27,0402,1,47pF,
C9,C_Elec_6.3x5.4,1,47uF,
"D1, D2, D3, D5",D_SOD-323,4,1N5819WS,
D4,0603,1,LED,
"FB1, FB2",0603,2,GZ1608D601TF,
FL1,Balun_Johanson_0900FM15K0039,1,0900FM15K0039,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J2,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,Screw_Terminal_01x02,
J3,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02,
J4,SMA_BAT_Wireless_BWSMA-KWE-Z001,1,LoRa Antenna,
J6,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
L1,L_Sunlord_SWPA4012S,1,22uH,
L2,L_Sunlord_SWPA3012S,1,15uH,
L3,0402,1,9.1nH,
L4,0603,1,47nH,
"R1, R11, R12",0402,3,10K,
R10,0402,1,100,
R15,0603,1,560,
"R2, R3",0402,2,5.1K,
R5,0402,1,1M,
R6,0402,1,5.6M,
R7,0402,1,6.2M,
R8,0603,1,510K,
R9,0402,1,2.7M,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,TS-1088-AR02016,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8",TestPoint_Pad_D1.5mm,8,TestPoint,
TP9,TestPoint_Pad_D1.5mm,1,Charging TP,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32L072CBT6,
U3,WQFN-20_L3.0-W3.0-P0.40-BL-EP1.7,1,SPV1050TTR,
U4,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,SX1262IMLTRT,
U5,SOT-23-3,1,XC6206P332MR-G,
U6,SOT-363_SC-70-6,1,PE4259-63,
U8,WSOF-6_L2.6-W1.6-P0.50-TL-EP,1,BH1750FVI,
U9,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768 kHz,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,32MHz,
