Designator,Mid X,Mid Y,Rotation,Layer
C1,149.3675,-96.88,270.0,top
C10,135.43,-100.26,270.0,top
C11,143.93,-99.9,270.0,top
C12,126.38,-92.73,270.0,top
C13,131.68,-96.46,270.0,top
C14,144.28,-91.23,0.0,top
C15,152.0975,-109.68,180.0,top
C16,154.2675,-109.68,0.0,top
C17,144.08,-93.03,0.0,top
C18,144.38,-95.33,90.0,top
C19,161.88,-91.98,90.0,top
C2,150.6175,-96.83,270.0,top
C20,166.58,-96.96,90.0,top
C21,164.555,-88.68,180.0,top
C22,167.8,-104.08,180.0,top
C23,169.89,-101.16,0.0,top
C24,171.31,-100.71,90.0,top
C25,174.18,-100.71,90.0,top
C26,169.13,-98.105,90.0,top
C27,167.88,-97.0,90.0,top
C29,171.13,-88.45,270.0,top
C3,149.73,-108.53,270.0,top
C30,166.93,-88.485,90.0,top
C31,159.73,-87.82,0.0,top
C32,159.7,-92.68,180.0,top
C4,149.5675,-105.28,180.0,top
C5,150.1875,-106.28,180.0,top
C6,156.205,-107.43,180.0,top
C7,159.0675,-97.88,0.0,top
C8,162.01,-107.78,270.0,top
C9,132.98,-105.5675,90.0,top
D1,133.83,-96.48,180.0,top
D2,146.08,-96.88,90.0,top
D3,141.79,-99.65,180.0,top
D4,144.09,-88.525,90.0,top
D5,146.98,-92.43,90.0,top
FB1,147.8175,-96.88,270.0,top
FB2,147.19,-88.525,270.0,top
FL1,164.45,-100.92,0.0,top
J1,153.28,-89.0,180.0,top
J2,131.43,-91.83,180.0,top
J3,138.98,-90.13,180.0,top
J4,178.84,-101.19,270.0,top
J6,150.36,-113.285,90.0,top
L1,137.83,-94.68,180.0,top
L2,164.23,-91.23,180.0,top
L3,172.75,-101.15,0.0,top
L4,166.6675,-98.83,180.0,top
R1,146.78,-104.08,0.0,top
R10,167.77,-103.09,0.0,top
R11,155.13,-95.36,270.0,top
R12,154.13,-95.36,270.0,top
R15,145.64,-88.525,90.0,top
R2,151.88,-95.24,270.0,top
R3,156.63,-94.83,0.0,top
R4,133.715,-98.27,0.0,top
R5,133.94,-99.53,0.0,top
R6,133.94,-100.53,0.0,top
R7,137.03,-101.96,270.0,top
R8,138.48,-102.76,90.0,top
R9,139.83,-101.98,270.0,top
SW1,159.78,-107.48,90.0,top
SW2,146.28,-107.38,90.0,top
U1,154.3175,-101.58,0.0,top
U3,138.03,-99.03,270.0,top
U4,163.4425,-95.68,270.0,top
U5,141.88,-94.88,270.0,top
U6,167.34,-101.17,180.0,top
U8,159.73,-90.3,270.0,top
U9,169.03,-88.98,0.0,top
Y1,153.1925,-108.005,0.0,top
Y2,168.63,-93.69,270.0,top
